Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Senator Michael Bennet,senbennetco,97172997732,GOVERNMENT_OFFICIAL,US,"Michael Bennet is a U.S. Senator from Colorado. If you'd like to send him a message, visit http://www.bennet.senate.gov/contact/",2013-04-09 00:43:07 CEST,61133,111114,2021-05-06 23:04:21 CEST,2021-05-06,23:04:21,Photo,"5,650",3519,618,130,1208,9,94,4,35,33,,-,0,0,0,N/A,https://www.facebook.com/97172997732/posts/10159132215032733,"Welcome to Colorado, First Lady Jill Biden!",https://www.facebook.com/senbennetco/photos/a.133419397732/10159132213547733/?type=3,,,,,,,,11.53
Sen. Marsha Blackburn,marshablackburn,6470828395,GOVERNMENT_OFFICIAL,US,"Washington D.C.
B40B Dirksen Senate Office Building
Washington, DC 20510
Telephone (202) 224-3344

Chattanooga
10 West M. L. King Blvd., 6th Floor
Chattanooga, TN 37402
Telephone (423) 541-2939
 
Jackson
91 Stonebridge Blvd, Suite 103
Jackson, TN 38305
Telephone (731) 660-3971
 
Knoxville
800 Market Street, Suite 121
Knoxville, TN 37902
Telephone (865) 540-3781
 
Memphis
100 Peabody Place, Suite 1125
Memphis, TN 38103
Telephone (901) 527-9199
 
Tri-Cities
1105 East Jackson Blvd, Suite 4
Jonesborough, TN 37659
Telephone (423) 753-4009
 
Nashville
3322 West End Avenue Suite 610
Nashville, TN  37203
Phone: (629) 800-6600
Fax: (615) 298-2148",2013-04-09 00:41:56 CEST,92081,131563,2021-04-21 16:02:36 CEST,2021-04-21,16:02:36,Video,"1,903",439,641,104,7,17,121,13,560,1,,-,0,0,0,N/A,https://www.facebook.com/6470828395/posts/10159131726918396,How many times must we teach them this lesson? The American people have already said no to the Green New Deal loud and clear.,https://www.cbsnews.com/amp/news/green-new-deal-alexandria-ocasio-cortez-ed-markey-reintroduce/,,,Markey and Ocasio-Cortez reintroduce Green New Deal,The last iteration of the joint resolution was a climate protection wish list for progressives and became a prime point of attack for conservatives.,,,,11.4
Senator John Hoeven,SenatorJohnHoeven,100044866340344,POLITICIAN,US,Official account of U.S. Senator John Hoeven of North Dakota. ,2014-09-19 23:34:12 CEST,14092,20129,2021-04-08 23:16:01 CEST,2021-04-08,23:16:01,Link,788,265,438,21,26,2,26,4,6,0,,-,0,0,0,N/A,https://www.facebook.com/100044866340344/posts/292289785609897,"My statement on President Biden’s executive actions on guns today: ""We need to ensure that law-abiding Americans have the ability to defend themselves as provided under the Constitution. Infringing on the constitutional rights of law-abiding citizens will not prevent violence. Instead, the administration should focus on fully enforcing the gun laws that are already on the books, and ensuring communities have resources to address mental health issues.""",https://bit.ly/31Y0DAB,https://www.hoeven.senate.gov/news/news-releases/hoeven-statement-on-biden-executive-action-on-guns,,Hoeven Statement on Biden Executive Action on Guns | U.S. Senator John Hoeven of North Dakota,The Official U.S. Senate website of Senator John Hoeven of North Dakota,,,,11.26
Senator Bill Hagerty,SenatorBillHagerty,106204684773712,GOVERNMENT_OFFICIAL,US,Husband | Father of four | Businessman | Community Volunteer | Conservative Republican | U.S. Senator | Former U.S. Ambassador to Japan | Proud Tennessean,2021-01-25 07:52:31 CET,40314,39274,2021-04-10 19:55:53 CEST,2021-04-10,19:55:53,Link,"1,063",336,290,94,8,10,13,10,298,4,,-,0,0,0,N/A,https://www.facebook.com/106204684773712/posts/141915381202642,"Another power grab from President Biden and the Democrat party. Now that they have power they want to change the rules and fundamentally change our sacred institutions. This commission is being formed to pack the Supreme Court. Period. As your Senator, I will fight it.",https://www.nytimes.com/2021/04/09/us/politics/biden-supreme-court-packing.html,,,Biden Creating Commission to Study Expanding the Supreme Court,The commission will also examine other potential changes such as term limits for justices. Progressives are pushing President Biden to add seats to balance the court’s conservative majority.,,,,10.42
Senator Bill Hagerty,SenatorBillHagerty,106204684773712,GOVERNMENT_OFFICIAL,US,Husband | Father of four | Businessman | Community Volunteer | Conservative Republican | U.S. Senator | Former U.S. Ambassador to Japan | Proud Tennessean,2021-01-25 07:52:31 CET,40315,39350,2021-04-29 04:58:10 CEST,2021-04-29,04:58:10,YouTube,695,391,201,35,26,1,33,2,3,3,,-,0,0,0,N/A,https://www.facebook.com/106204684773712/posts/152701960123984,"As your Senator, I’m going to fight this socialist wishlist that we heard from @POTUS Biden in tonight’s #JointAddress. Watch my reaction to the President’s speech: https://youtu.be/Bdm_zXuEt_g:=:https://www.google.com/sorry/index?continue=https://www.youtube.com/watch%3Fv%3DBdm_zXuEt_g%26feature%3Dyoutu.be&q=EgQ0KuTRGN_FqIQGIhkA8aeDS2D3_ZhfqkxfrcLFkM8vXEooAz8jMgFy",https://youtu.be/Bdm_zXuEt_g,https://www.google.com/sorry/index?continue=https://www.youtube.com/watch%3Fv%3DBdm_zXuEt_g%26feature%3Dyoutu.be&q=EgQ0KuTRGN_FqIQGIhkA8aeDS2D3_ZhfqkxfrcLFkM8vXEooAz8jMgFy,,Hagerty Video Statement in Response to President Biden’s Remarks to a Joint Session of Congress,,,,,10.37
Senator Bill Hagerty,SenatorBillHagerty,106204684773712,GOVERNMENT_OFFICIAL,US,Husband | Father of four | Businessman | Community Volunteer | Conservative Republican | U.S. Senator | Former U.S. Ambassador to Japan | Proud Tennessean,2021-01-25 07:52:31 CET,40324,39368,2021-04-30 17:48:05 CEST,2021-04-30,17:48:05,Photo,"1,122",718,208,140,21,3,22,1,3,6,,-,0,0,0,N/A,https://www.facebook.com/106204684773712/posts/153560730038107,"In response to concerning allegations against John Kerry, 18 of my colleagues and I are asking President Joe Biden to investigate whether Kerry revealed sensitive information to the Iranian Foreign Minister Zarif. I’ve already called on John Kerry to resign, but at minimum right now his access to sensitive information and classified intelligence should be suspended.",https://www.facebook.com/SenatorBillHagerty/photos/a.109802517747262/153560686704778/?type=3,,"Ilom Thom Tillis United States Senator Ros.W.Mersbalk Roger Marshall, M.D. United States Senator Harsha Hacnburx Marsha Blackburn United States Senator Gotu Anit Sfue Daia Steve Daines United States Senator Joni Erst United States Senator Cendy2lgbt Anti Cindy Hyde-Smith United States Senator gola Borrasso John Barrasso United States Senator mary Tuberville Iabowilly United States Senator Bill Hagerty United States Senator Mike Bram Mike Braun United States Senator Charle Grassley United States Senator R Λat Rick Scott United States Senator Lovrousota Roget Wicker United-Slates Senator MS Ted Cruz United States Senator",Photos from Senator Bill Hagerty's post,,,,,9.76
"Senator Roger Marshall, M.D.",RogerMarshallMD,232404617204556,GOVERNMENT_OFFICIAL,US,"Senator Roger Marshall, M.D. (R) is a U.S. Senator for the State of Kansas
",2017-01-06 15:19:01 CET,49450,54363,2021-05-05 19:18:20 CEST,2021-05-05,19:18:20,Status,"4,643",1717,1977,148,24,14,541,82,133,7,,-,0,0,0,N/A,https://www.facebook.com/232404617204556/posts/1228160207628987,The decision by Facebook’s Oversight Board is disappointing but not terribly unexpected. No one should be surprised that a bunch of partisan speech czars are working to silence one of our nation’s strongest conservative voices.,,,,,,,,,9.71
Senator Cory Booker,SenatorCoryBooker,297200417819561,GOVERNMENT_OFFICIAL,US,"Cory Booker was raised in Harrington Park, living his life as a proud New Jerseyan. After graduating from Northern Valley Regional High School, Booker received his undergraduate degree from Stanford University where he played on the varsity football team. While at Stanford, he also was awarded a Rhodes Scholarship and went on to study at the University of Oxford where he received an honors degree in History. Booker then completed his education at Yale Law School, receiving his J.D. in 1997.

After law school, Booker moved to Newark – where he still lives to this day – and started a nonprofit organization to provide legal services for low-income families and help tenants take on slumlords, improve living conditions, and stay in their homes.

At the age of twenty-nine, Booker was elected to the Newark City Council from the city’s Central Ward. In the seventeen years since, Booker has worked tirelessly at the local and national levels to improve the lives of New Jerseyans and Americans.

Starting in 2006, Booker proudly served as Newark’s mayor for more than seven years. During his tenure, the city entered its largest period of economic growth since the 1960s. In addition, overall crime declined and the quality of life for residents improved due to initiatives such as more affordable housing, new green spaces and parks, increased educational opportunities, and more efficient city services.

On October 16th, 2013, Booker won a special election to represent New Jersey in the United States Senate. On November 4th, 2014, Senator Booker was re-elected to a full six year term. As New Jersey’s junior Senator, Cory Booker has brought an innovative and bipartisan approach to tackling some of the most difficult problems facing New Jersey and our country.

Senator Booker has established himself as an innovative and bipartisan problem-solver committed to developing collaborative solutions that address some of our most complex challenges. Whether it’s advocating for more federal resources to modernize New Jersey’s transportation system, securing funds to continue the long recovery from Superstorm Sandy, or ensuring that our communities are safe from the effects of pollution and climate change, Booker has proven his steadfast commitment to standing up for what matters most to New Jerseyans. Booker has also emerged as a national leader in the Congressional push for common sense criminal justice reform, advocating for front-end sentencing reforms, pushing for the banning of juvenile solitary confinement in federal facilities, and spearheading legislation to make the hiring process fairer for the formerly incarcerated. Booker has also partnered with colleagues on both sides of the aisle to create a number of economic proposals, from increased small business investment to apprenticeship programs, with the hope of fostering greater economic mobility and opportunity for individual Americans.
",2019-02-04 13:52:07 CET,1105856,1099422,2021-04-22 20:06:08 CEST,2021-04-22,20:06:08,Link,"18,920",12722,1248,1025,3401,219,57,10,143,95,,-,0,0,0,N/A,https://www.facebook.com/297200417819561/posts/812685519604379,Another important step to end the disenfranchisement of Washington DC residents. I look forward to working with with my colleagues to make DC Statehood a reality.,https://www.washingtonpost.com/local/dc-politics/dc-statehood-house-vote/2021/04/22/935a1ece-a1fa-11eb-a7ee-949c574a09ac_story.html,,,House Democrats pass D.C. statehood — launching bill into uncharted territory,"Statehood supporters will target the Senate, where opposition is strong but leaders have promised a hearing.",,,,9.66
Senator Ron Johnson,senronjohnson,186181661410703,GOVERNMENT_OFFICIAL,US,Proudly serving the great state of Wisconsin in the United States Senate. Posts from Ron will be signed -rj. ,2014-09-19 23:34:55 CEST,37954,76174,2021-04-29 04:58:52 CEST,2021-04-29,04:58:52,Status,"9,078",3346,3452,689,190,42,1077,69,193,20,,-,0,0,0,N/A,https://www.facebook.com/186181661410703/posts/4497083813653778,"Unfortunately, President Biden’s agenda is massive spending, massive tax increases, open borders, and attacks on energy that will harm our economy and threaten American jobs. He promised to unify and heal America but has done the exact opposite in his first 100 days. He has declared that America is systemically racist and needs to be “fundamentally transformed.” That type of rhetoric sows division and discord and leads me to ask: Can anyone even like, much less love, something they want to fundamentally transform? While it’s not perfect, I believe America is the greatest nation in the history of mankind. We are a nation with problems to fix, not a country that needs a complete overhaul. I wish President Biden shared that belief and would work with those of us who truly love America to address the serious issues we do face.",,,,,,,,,9.06
Tim Scott,votetimscott,349068689306,POLITICIAN,US,Honored to serve the citizens of South Carolina. http://www.votetimscott.com,2014-09-17 21:47:17 CEST,218753,242358,2021-04-26 18:32:40 CEST,2021-04-26,18:32:40,Native Video,"11,945",6205,3533,606,1489,8,28,5,11,60,owned,Yes,62305,66669,0,00:00:11,https://www.facebook.com/349068689306/posts/10160795770289307,"Hey y'all, I'm in the middle of writing my speech right now, and I wanted to get your input! If you had the chance to address Joe Biden and the American people, what would YOU tell them? Let me know.",https://www.facebook.com/votetimscott/videos/157863452930330/,,,Tim Scott will deliver Official GOP Response to Biden's address,,,,,8.94
Senator Dan Sullivan,SenDanSullivan,1499142123704271,GOVERNMENT_OFFICIAL,US,The official Facebook page for Senator Dan Sullivan of Alaska.,2015-02-21 00:42:55 CET,13837,26989,2021-04-09 00:40:38 CEST,2021-04-09,00:40:38,Status,"2,397",944,982,192,150,5,86,5,26,7,,-,0,0,0,N/A,https://www.facebook.com/1499142123704271/posts/2905632046388598,"President Biden’s actions related to firearms announced today, and the nomination of anti-Second Amendment activist David Chipman to lead the Bureau of Alcohol, Tobacco, Firearms and Explosives, likely indicate a coming all-out attack on the Second Amendment from the Biden administration. The more extreme proposals advocated by the far left haven’t passed Congress previously because they don’t have the support of a broad majority of Americans—not even all Democrats in the Senate. Lacking support from the people and their representatives is never an excuse for a President to bypass Congress and subvert the Constitution. I vehemently oppose actions that would curtail the constitutional rights of law-abiding Alaskans. In Alaska, we know that the Second Amendment is absolutely vital to our culture, our safety and our way of life. These rights, enshrined in our Constitution and painted on the wall of my Senate office, are not negotiable, and I will always stand up forcefully to protect them.",,,,,,,,,8.91
Senator Rick Scott,RickScottSenOffice,591285547979310,GOVERNMENT_OFFICIAL,US,Government Official,2019-01-10 17:47:38 CET,24186,139230,2021-04-27 16:24:05 CEST,2021-04-27,16:24:05,Native Video,"6,000",5207,481,151,66,4,64,2,8,17,owned,Yes,36344,36893,0,00:00:36,https://www.facebook.com/591285547979310/posts/1174953496279176,"We must hold Communist China accountable as they continue to intimidate our peaceful and democratic ally, Taiwan. I’m calling on the @WHO to stop acting as Communist China’s puppet, accept Taiwan as a member-state and #LetTaiwanHelp. 👀⬇️",https://www.facebook.com/RickScottSenOffice/videos/517274399444189/,,,,,,,,8.82
Senator John Kennedy,SenatorJohnKennedy,915504505253663,GOVERNMENT_OFFICIAL,US,U.S. Senator working on behalf of the people of Louisiana,2017-01-06 23:00:07 CET,64920,148260,2021-04-20 21:52:32 CEST,2021-04-20,21:52:32,Native Video,"33,727",10615,5125,13086,1308,284,2902,89,277,41,owned,Yes,214958,453857,0,00:04:41,https://www.facebook.com/915504505253663/posts/2195081970629237,"How much is Pres. Biden’s $2,000,000,000,000 spending extravaganza going to lower global temperatures? Today, his EPA has no answer.",https://www.facebook.com/SenatorJohnKennedy/videos/460793711647414/,,,04 20 21,,,,,8.68
Senator Ron Johnson,senronjohnson,186181661410703,GOVERNMENT_OFFICIAL,US,Proudly serving the great state of Wisconsin in the United States Senate. Posts from Ron will be signed -rj. ,2014-09-19 23:34:55 CEST,38073,76242,2021-05-07 18:26:57 CEST,2021-05-07,18:26:57,Status,"7,092",2938,2357,564,146,16,935,42,85,9,,-,0,0,0,N/A,https://www.facebook.com/186181661410703/posts/4522154961146663,"The economy was roaring back to life before Biden became president. The biggest problem businesses face now is finding people willing to turn down government subsidies and go back to work. Biden’s reckless, out-of-control spending and his proposed tax increases will hamper the economy, spark inflation, and hurt American workers, businesses and families. He should stop mortgaging our children’s future, get government out of the way, and let people start living productive lives. #jobsreport",,,,,,,,,8.5
Senator Rick Scott,RickScottSenOffice,591285547979310,GOVERNMENT_OFFICIAL,US,Government Official,2019-01-10 17:47:38 CET,24076,139136,2021-04-20 15:25:33 CEST,2021-04-20,15:25:33,Photo,"5,479",3319,1100,97,838,10,19,3,17,76,,-,0,0,0,N/A,https://www.facebook.com/591285547979310/posts/1170597686714757,"Happy 49th Anniversary to my beautiful wife and best friend! I am so blessed to have you by my side. I love you, Ann!",https://www.facebook.com/RickScottSenOffice/photos/a.593832911057907/1170597643381428/?type=3,,,,,,,,8.43
Senator John Hoeven,SenatorJohnHoeven,100044866340344,POLITICIAN,US,Official account of U.S. Senator John Hoeven of North Dakota. ,2014-09-19 23:34:12 CEST,14098,20124,2021-04-29 04:36:39 CEST,2021-04-29,04:36:39,Status,"1,271",515,610,37,10,4,72,6,15,2,,-,0,0,0,N/A,https://www.facebook.com/100044866340344/posts/304344621071080,"Tonight, President Biden outlined more spending and higher taxes. We should be focusing on growing our economy, taking care of veterans, rebuilding our military, border security and a targeted bipartisan infrastructure package. My full statement here: https://bit.ly/3gOfoPc:=:https://www.hoeven.senate.gov/news/news-releases/hoeven-statement-on-presidents-address-to-congress",,,,,,,,,8.36
Tim Scott,votetimscott,349068689306,POLITICIAN,US,Honored to serve the citizens of South Carolina. http://www.votetimscott.com,2014-09-17 21:47:17 CEST,241817,270375,2021-05-01 20:16:03 CEST,2021-05-01,20:16:03,Photo,"27,342",18181,2008,3862,3020,15,69,41,31,115,,-,0,0,0,N/A,https://www.facebook.com/349068689306/posts/10160807186839307,"Joe Biden promised unity, but the last 100 days have left us more divided than ever. Packing the Supreme Court, creating a crisis at the border, and pushing historic tax hikes is anything but unity. We need to come together to create opportunity for ALL Americans.",https://www.facebook.com/votetimscott/photos/a.448427444306/10160807186109307/?type=3,,""" A President who promised to bring us together should not push agendas that tear us apart."" -SENATOR TIM SCOTT",,,,,,7.95
